# fr_language_admin.txt - this file is for the internationalization of the astGUIclient 
# admin web pages. The associated install.pl file will take the language as an 
# argument and alter the php scripts to the language typed in the command line:
# example: ./install.pl --language=fr
# current languages in the file:
# - English - (en) no alterations
# - French - (fr) first column
***LANGUAGES***
en-English|fr-French|
Company -<\/B> Purely for administrative notes|Compagnie -</B> Seulement pour les notes administratives|
Picture -<\/B> Not yet Implemented|Image -</B> Pas encore implémenté|
New Messages -<\/B> Number of new voicemail messages for this phone on the Asterisk server|Nouveaux messages -</B> Nombre de nouveaux messages vocaux pour ce téléphone sur le serveur Asterisk|
Old Messages -<\/B> Number of old voicemail messages for this phone on the Asterisk server|Anciens messages -</B> Nombre d'anciens messages vocaux pour ce téléphone sur le serveur Asterisk|
Client Protocol -<\/B> The protocol that the phone uses to connect to the Asterisk server: SIP, IAX2, Zap . Also, there is EXTERNAL for remote dial numbers or speed dial numbers that you want to list as phones|Protocole client -</B> Le protocole que le téléphone utilise pour se connecter au serveur Asterisk: SIP, IAX2, Zap. Il y a également EXTERNAL pour les numéros distants et les numérotation rapide que vous voulez lister comme téléphone|
Local GMT -<\/B> The difference from Greenwich Mean time, or ZULU time where the phone is located. DO NOT ADJUST FOR DAYLIGHT SAVINGS TIME. This is used by the VICIDIAL campaign to accurately display the time and customer time|GMT local -</B> La différence entre l'heure de Greenwich, ou l'heure ZULU et le fuseau horaire du téléphone. NE PAS AJUSTER POUR LES DAYLIGHT SAVINGS TIME. Ceci est utilisé par les campagnes VICIDIAL pour afficher correctement l'heure et l'heure du client|
Manager Login -<\/B> This is the login that the GUI clients for this phone will use to access the Database where the server data resides|Login du manager -</B> C'est le login que les clients GUI de ce téléphones vont utiliser pour accéder à la base de données dans laquelle sont stockées les données du serveur|
Manager Secret -<\/B> This is the password that the GUI clients for this phone will use to access the Database where the server data resides|Mot de passe du manager -</B> C'est le mot de passe que les clients GUI de ce téléphone vont utiliser pour accéder à la base de données dans laquelle sont stockées les données du serveur|
VICIDIAL Default User -<\/B> This is to place a default value in the VICIDIAL user field whenever this phone user opens the astVICIDIAL client app. Leave blank for no user|Utilisateur par défaut de VICIDIAL -</B> Permet de remplir une valeur par défaut dans le champ utilisateur de VICIDIAL quand l'utilisateur de ce téléphone ouvre l'application client astVICIDIAL. Laisser vide pour ne pas l'utiliser|
VICIDIAL Default Pass -<\/B> This is to place a default value in the VICIDIAL password field whenever this phone user opens the astVICIDIAL client app. Leave blank for no pass|Mot de passe par défaut de VICIDIAL -</B> Permet de remplir une valeur par défaut dans le champ mot de passe de VICIDIAL quand l'utilisateur de ce téléphone ouvre l'application client astVICIDIAL. Laisser vide pour ne pas l'utiliser|
VICIDIAL Default Campaign -<\/B> This is to place a default value in the VICIDIAL campaign field whenever this phone user opens the astVICIDIAL client app. Leave blank for no campaign|Campagne par défaut de VICIDIAL -</B> Permet de remplir une valeur par défaut dans le champ campagne de VICIDIAL quand l'utilisateur de ce téléphone ouvre l'application client astVICIDIAL. Laisser vide pour ne pas l'utiliser|
Park Exten -<\/B> This is the default Parking extension for the client apps. Verify that a different one works before you change this|Exten de mise en attente -</B> C'est l'exten par défaut utilisé pour la mise en attente dans l'application client. Verifiez qu'il fonctionne avant de le changer|
Conf Exten -<\/B> This is the default Conference park extension for the client apps. Verify that a different one works before you change this|Exten pour mise en attente de la conférence -</B> C'est l'exten par défaut utilisé pour la mise en attente de la conférence dans l'appilcation client. Verifiez qu'il autre fonctionne avant de le changer|
VICIDIAL Park Exten -<\/B> This is the default Parking extension for VICIDIAL client app. Verify that a different one works before you change this|Exten de mise en attente VICIDIAL -</B> C'est l'exten par defaut utilisé pour la mise en attente pour l'appilcation cliente VICIDIAL. Avant de changer ce champ verifiez que le nouveau fonctionne|
VICIDIAL Park File -<\/B> This is the default VICIDIAL park extension file name for the client apps. Verify that a different one works before you change this. limited to 10 characters|VICIDIAL Park File -</B> C'est le nom du fichier par defaut pour la mise en attente de VICIDIAL. Avant de le changer verifiez que le nouveau fonctionne. Limité a 10 caractères|
Monitor Prefix -<\/B> This is the dial plan prefix for monitoring of Zap channels automatically within the astGUIclient app. Only change according to the extensions.conf ZapBarge extensions records|Prefix de Moniteur -</B> C'est le prefix du monitoring des Channels Zap automatiquement contenu dans l'appication astguiclient. Ne changez qu'en accord avec les enregistrement des extensions ZapBarge|
Recording Exten -<\/B> This is the dial plan extension for the recording extension that is used to drop into meetme conferences to record them. It usually lasts upto one hour if not stopped. verify with extensions.conf file before changing|Exten d'enregistrement -</B> C'est l'extension dans le dial plan pour l'enregistrement utilisé pour enregistrer les conférences. C'est habituellement stoppé au bout d'une heure. Verifiez le fichier extentions.conf avant tout changement|
VMAIL Main Exten -<\/B> This is the dial plan extension going to check your voicemail. verify with extensions.conf file before changing|Exten principal pour VMAIL -</B> C'est l'extension du dial plan utilisé pour verifier la boîte vocale. Verifiez le fichier extensions.conf avant tout changement|
VMAIL Dump Exten -<\/B> This is the dial plan prefix used to send calls directly to a user's voicemail from a live call in the astGUIclient app. verify with extensions.conf file before changing|VMAIL Dump Exten -</B> C'est le préfix du dial plan utilisé pour lancer des appels directement vers la boite vocale de l'utilisateur depuis un un appelen cours dans l'application astGUIclient app. Avant tout changement verifiez le fichier extensions.conf|
Exten Context -<\/B> This is the dial plan context that this phone primarily uses. It is assumed that all numbers dialed by the client apps are using this context so it is a good idea to make sure this is the most wide context possible. verify with extensions.conf file before changing|Exten Contexte -</B> C'est le contexte du dial plan que les téléphones utilisent principalement. Ce qui suppose que tous les numéros appelés par l'application cliente sont accessibles depuis ce contexte, assurez vous donc que ce contexte soit le plus large possible. Verifiez le fichier extension.conf avant toutes modifications|
DTMF send Channel -<\/B> This is the channel string used to send DTMF sounds into meetme conferences from the client apps. Verify the exten and context with the extensions.conf file|Cannal d'envoi de DTMF -</B> C'est le channel utilisé pour envoyer les sons DTMF dans les conférences meetme depuis l'application cliente. Verifiez le fichier extentions.conf avant tout changement|
Outbound Call Group -<\/B> This is the channel group that outbound calls from this phone are placed out of. There are a couple routines in the client apps that use this. For Zap channels you want to use something like Zap\/g2 , for IAX2 trunks you would want to use the full IAX prefix like IAX2\/VICItest1:secret@10.10.10.15:4569. Verify the trunks with the extensions.conf file, it is usually what you have defined as the TRUNK global variable at the top of the file|Groupe d'appel sortant -<\/B> C'est le groupe de canal hors duquel seront placés les appels passés depuis ce téléphone. Il y a des routines dans l'application cliente qui l'utilisent. Pour les cannal Zap vous devriez utiliser quelque chose comme Zap/g2, pour les trunks IAX vous devriez utiliser un préfixe entier IAX comme IAX2/VICItet1:secret@10.10.10.15:4569. Vérifiez les trunks dans le fichier extensions.conf, il est courant que vous avez défini comme variable globale TRUNK au début du fichier|
Browser Location -<\/B> This is applicable to only UNIX\/LINUX clients, the absolute path to Mozilla or Firefox browser on the machine. verify this by launching it manually|Emplacement du Navigateur -</B> C'est le chemin absolu pour le navigateur Mozilla ou firefox, ceci n'est applicable que pour les clients UNIX/LINUX. Vérifiez en le lançant manuellement|
Install Directory -<\/B> This is the place where the astGUIclient and astVICIDIAL scripts are located on your machine. For Win32 it should be something like C:\\AST_VICI and for UNIX it should be something like \/usr\/local\/perl_TK. verify this manually|Répertoire d'installation -</B> C'est l'endroit où astGUIclient et les scripts astVICUDUAL sont installés sur la machine. Pour Win32 cela doit être quelque chose comme C:\\AST_VICI and for UNIX cela doit être quelque chose comme /usr/local/perl_TK. Vérifiez cela manuellement|
CallerID URL -<\/B> This is the web address of the page used to do custom callerID lookups. default testing address is: http:\/\/astguiclient.sf.net\/test_callerid_output.php|URL du CallerID -</B> C'est l'adresse web de la page utilisée pour faire une verification personnalisée du CallerId. L'adresse des test par defaut est : http://astguiclient.sf.net/test_callerid_output.php|
VICIDIAL Default URL -<\/B> This is the web address of the page used to do custom VICIDIAL Web Form queries. default testing address is: http:\/\/astguiclient.sf.net\/test_VICIDIAL_output.php|URL par defaut de VICIDIAL -</B> C'est l'adresse web de la page utilisée pour faire des requêtes Web VICIDIAL personnalisées. L'adresse par defaut est: http://astguiclient.sf.net/test_VICIDIAL_output.php|
Call Logging -<\/B> This is set to true if the call_log.agi file is in place in the extensions.conf file for all outbound and hang up 'h' extensions to log all calls. This should always be 1 because it is manditory for many astGUIclient and VICIDIAL features to work properly|Log des appels -</B> Mettez à true si le fichier call_log.agi est placé dans le fichier extension.conf pour tout les appels sortants ainsi que l'extension de racrochage 'h' pour logger tout les appels. Il devrait toujours être à 1 car cela est nécessaire pour que certaines des fonctionnalités d'astGUIclient et de VICIDIAL fonctionnent proprement|
User Switching -<\/B> Set to true to allow user to switch to another user account. NOTE: If user switches they can initiate recording on the new user's phone conversation|Changement d'utilisateur -</B> Mettez à true pour autoriser un utilisateur à changer pour un autre compte utilisateur. NOTE: Si l'utilisateur commute, il peut initier l'enregistrement sur la nouvelle conversation téléphonique du nouvel utilisateur|
Conferencing -<\/B> Set to true to allow user to start conference calls with upto six external lines|Conferencing -</B> Mettez à true pour autoriser un utilisateur a démarrer une conférence avec plus de 6 lignes externs|
Admin Hang Up -<\/B> Set to true to allow user to be able to hang up any line at will through astGUIclient. Good idea only to enable this for Admin users|Racrochage administateur-</B> Mettre à true pour autoriser l'utilisateur à racrocher n'importe quelle ligne à travers astGUIclient. C'est une bonne idée de l'activer pour les administarteurs|
Admin Hijack -<\/B> Set to true to allow user to be able to grab and redirect to their extension any line at will through astGUIclient. Good idea only to enable this for Admin users. But is very useful for Managers|Détournement adminisrateur -<\/B> Mettre à true pour autoriser l'utilisateur à pouvoir intercepter et rediriger vers son extention n'importe quelle ligne à travers Astguiclient. C'est une bonne idée de l'activer pour les administrateurs. Mais c'est aussi très utile pour les managers|
Admin Monitor -<\/B> Set to true to allow user to be able to grab and redirect to their extension any line at will through astGUIclient. Good idea only to enable this for Admin users. But is very useful for Managers and as a training tool|Moniteur adminisrateur -</B> Mettre à true pour autoriser l'utilisateur à intercepter et rediriger vers son extension certaines lignes à partir de astGUIclient. C'est une bonne idée de l'activer pour les adiministrateurs.  Mais c'est aussi très utile pour les managers et comme outil d'entrainement|
Call Park -<\/B> Set to true to allow user to be able to park calls on astGUIclient hold to be picked up by any other astGUIclient user on the system. Calls stay on hold for upto a half hour then hang up. Usually enabled for all|Parc d'appels -<\/B> Mettez à true pour autoriser l'utilisateur à parquer des appels dans astGUIclient pour être pris par n'importe quel utilisateur astGUIcient sur le système. Les appels sont mis en attente jusqu'à 30 minutes puis sont raccrochés. Habituellement activé pour tous|
Updater Check -<\/B> Set to true to display a popup warning that the updater time has not changed in 20 seconds. Useful for Admin users|Vérification de mise à jour -</B> Mettre à true pour afficher une popup avertissant que le temps de mise à jour n'a pas changé en 20 secondes. Utile pour les administrateurs|
AF Logging -<\/B> Set to true to log many actions of astGUIclient usage to a text file on the user's computer|Log des AF -</B> Mettre à true pour logguer les actions de astGUIclient dans un fichier texte sur l'ordinateur de l'utilisateur|
Queue Enabled -<\/B> Set to true to have client apps use the Asterisk Central Queue system. Required for VICIDIAL and recommended for all users|Activer la queue -</B> Mettre à true pour que les applications clientes utilisent le systeme central de queue d'asterisk. Requis pour VICIDIAL et recommandé pour tout les utilisateurs|
CallerID Popup -<\/B> Set to true to allow for numbers defined in the extensions.conf file to send CallerID popup screens to astGUIclient users|Popup sur le CallerID -</B> Mettre à true pour autoriser, pour les numéros définis dans le fichier extensions.conf, à afficher des popup concernat le CallerID aux utilisateurs d'astGUIclient|
VMail Button -<\/B> Set to true to display the VOICEMAIL button and the messages count display on astGUIclient|Bouton de boîte vocale -</B> Mettre à true pour afficher le bouton VOICEMAIL et le nombre de messages dans astGUIclient|
Fast Refresh -<\/B> Set to true to enable a new rate of refresh of call information for the astGUIclient. Default disabled rate is 1000 ms ,1 second. Can increase system load if you lower this number|Rafraichissement rapide -</B> Mettre à true pour activer un nouveau taux de rafraichissement de l'information dans astGUIclient. Par défaut ce taux est de 1000ms, 1 seconde. Si vous diminuez ce taux cela peu augmenter la charge système|
Fast Refresh Rate -<\/B> in milliseconds. Only used if Fast Refresh is enabled. Default disabled rate is 1000 ms ,1 second. Can increase system load if you lower this number|Taux de rafraichissement rapide -</B> en millisecondes. Utiliser seulement si le rafraichissement rapide est activé. Par défaut le taux est de 1000ms , 1 seconde. La diminution de ce taux peux augmenter la charge système|
Persistant MySQL -<\/B> If enabled the astGUIclient connection will remain connected instead of connecting every second. Useful if you have a fast refresh rate set. It will increase the number of connections on your MySQL machine|MySQL persistant -<\/B> Si activé, alors la connection à MYSQL sera maintenue au lieu d'être reconnectée chaque seconde. Utile si vous avez un taux de rafraichissement rapide. Cela va augmenter le nombre de connections au seveur MYSQL|
Auto Dial Next Number -<\/B> If enabled the VICIDIAL client will dial the next number on the list automatically upon disposition of a call unless they selected to "Stop Dialing" on the disposition screen|Appel automatique du numéro suivant -</B> Si activé, le client VICIDIAL appelera automatiquement le numéro suivant dans la liste selon la disposition d'un appel à moins qu'ils aient choisi "Stop Dialing" sur l'écran de disposition|
Stop Rec after each call -<\/B> If enabled the VICIDIAL client will stop whatever recording is going on after each call has been dispositioned. Useful if you are doing a lot of recording or you are using a web form to trigger recording|Stoper l'enregistrement après chaque appel -</B> Si activé, le client VICIDIAL stopera chaque enregistrement à la fin de l'appel. Utile si vous faites beaucoup d'enregistrements et si vous utiliser un formulaire web pour déclancher l'enregistrement|
DBX Server -<\/B> The MySQL database server that this user should be connecting to|Serveur DBX -</B> Le serveur de la base de données MYSQL auquel cette utilisateur se connecte|
DBX Database -<\/B> The MySQL database that this user should be connecting to. Default is asterisk|Base de données DBX -</B> Base de données à laquelle cet utilisateur ce connecte. La valeur par défault est asterisk|
DBX User -<\/B> The MySQL user login that this user should be using when connecting. Default is cron|Utilisateur DBX -</B> Login utilisateur de la base de données utilisé pour la connection. La valeur par défaut est cron|
DBX Pass -<\/B> The MySQL user password that this user should be using when connecting. Default is 1234|Mot de passe DBX -</B> Mot de pass de la connetion MYSLQ. La valeur par défaut est 1234|
DBX Port -<\/B> The MySQL TCP port that this user should be using when connecting. Default is 3306|Port DBX -</B> Port de la connection à la base de données. La valeur par défaut est 3306|
DBY Server -<\/B> The MySQL database server that this user should be connecting to|Serveur DBY -</B> Le serveur de base de données auquel cet utilisateur ce connecte|
DBY Database -<\/B> The MySQL database that this user should be connecting to. Default is asterisk|Base de données DBY -</B> La base de données MYSQL à laquelle cette utilisateur se connecte. La valeur par défaut est asterisk|
DBY User -<\/B> The MySQL user login that this user should be using when connecting. Default is cron|Utilisateur DBY -</B> Login utilisateur avec lequel cet utilisateur ce connecte à la base de données. La valeur par défaut est cron|
DBY Pass -<\/B> The MySQL user password that this user should be using when connecting. Default is 1234|Mot de passe DBY -</B> Mot de passe avec lequel cet utilisateur ce connecte à MYSQL. La valeur par defaut est 1234|
DBY Port -<\/B> The MySQL TCP port that this user should be using when connecting. Default is 3306|DBY port -</B> Port TCP de la connection MYSQL utilisée par cet utilisateur. La valeur par défaut est 3306|
Redirect command sent for channel|Commande de redirection envoyée pour le cannal|
Look up this customer in Customer Service System|Rechercher ce client dans le Système de Service Client|
Redirect command FAILED for channel|La commande de redirection a échoué pour le cannal|
PLEASE SELECT A NUMBER AND DATE ABOVE AND CLICK SUBMIT|VEUILLEZ SELECTIONNER UN NUMERO ET UNE DATE CI-DESSUS ET CLIQUEZ SUR VALIDER|
Total Calls That came into this number|Total des appels reçus par ce numéro|
Average Call Length(seconds) for all Calls|Durée moyenne des appels(en secondes) pour tous les appels|
Total DROP Calls:   (less than 10 seconds)|Total des appels abandonnés: (moins de 10 secondes)|
Average Call Length(seconds) for DROP Calls|Durée moyenne des appels(en secondes) pour les appels abandonnés|
GRAPH IN 15 MINUTE INCREMENTS OF TOTAL CALLS|GRAPHIQUE INCREMENTE PAR TRANCHE DE 15 MINUTES DU TOTAL DES APPELS|
Click on the channel below that you would like to have directed to your phone|Cliquez sur le cannal vers lequel vous voulez diriger votre téléphone|
LAST 1000 CALLS FOR DATE RANGE|1000 DERNIERS APPELS POUR UNE PERIODE|
Click here to see what leads are in the hopper right now|Cliquez ici pour voir quelles fiches sont dans le distributeur à l'instant|
CUSTOM STATUSES WITHIN THIS CAMPAIGN|STATUTS PERSONNALISES DANS CETTE CAMPAGNE|
PLEASE SELECT A CAMPAIGN ABOVE AND CLICK SUBMIT|VEUILLEZ SELECTIONNER UNE CAMPAGNE CI-DESSUS ET CLIQUEZ SUR VALIDER|
PLEASE SELECT A CAMPAIGN AND DATE ABOVE AND CLICK SUBMIT|VEUILLEZ SELECTIONNER UNE CAMPAGNE ET UNE DATE CI-DESSUS ET CLIQUEZ SUR VALIDER|
GRAPH IN 15 MINUTE INCREMENTS OF TOTAL CALLS PLACED FROM THIS CAMPAIGN|GRAPHIQUE INCREMENTE PAR TRANCHE DE 15 MINUTES POUR LE TOTAL DES APPELS PLACES DEPUIS CETTE CAMPAGNE|
ERROR: The file does not have the required number of fields to process it|ERREUR: Le fichier n'a pas le nombre de champs requis pour l'utiliser|
ERROR: File exceeds the 8MB limit|ERREUR: Le fichier dépasse la limmite de 8Mo|
Please enter the group you want to get hourly stats for|Veuillez entrez le groupe pour lequel vous souhaitez avoir les statistiques horaires |
The search variables you entered are not active in the system|Les variables de recherche que vous avez entré ne sont pas actives dans le système|
Please go back and double check the information you entered and submit again|Veuillez revenir en arrière et verifier les informations que vous avez saisi et valider de nouveau|
Click here to see the Lead Details|Cliquer ici pour voir le détail de la fiche|
SERVERS TABLE|TABLE DES SERVEURS|
Server ID -<\/B> This field is where you put the Asterisk servers name, doesnt have to be an official domain sub, just a nickname to identify the server to Admin users|ID du Sevreur -</B> C'est ici que vous mettez le nom du serveur Asterisk, il n'est pas obligatoire de mettre le sous dommaine, juste un nom pour identifier le seveur pour les administrateurs|
Server Description -<\/B> The field where you use a small phrase to describe the Asterisk server|Descritpion du serveur -</B> Petite description du serveur asterisk|
Server IP Address -<\/B> The field where you put the Network IP address of the Asterisk server|Adresse IP du serveur -</B> Le champs dans lequel vous mettez l'adresse IP du serveur Asterisk|
Active -<\/B> Set whether the Asterisk server is active or inactive|Actif -</B> Mettre si le serveur Asterisk est actif ou non|
Asterisk Version -<\/B> Set the version of Asterisk that you have installed on this server. Examples: '1.2', '1.0.8', '1.0.7', 'CVS_HEAD', 'REALLY OLD', etc... This is used because versions 1.0.8 and 1.0.9 have a different method of dealing with Local\/ channels, a bug that has been fixed in CVS v1.0, and need to be treated differently when handling their Local\/ channels. Also, current CVS_HEAD and the 1.2 release tree uses different manager and command output so it must be treated differently as well|Version d'Asterisk -</B> Mettre la version d'asterisk que vous avez installé sur ce serveur. Examples: ' 1.2 ', ' 1.0.8 ', ' 1.0.7 ', 'CVS_HEAD', 'REALLY OLD', etc... Ceci est utilisé car les versions 1.0.8 et 1.0.9 ont une methode differente pour gérer les canaux Local/, un bug qui a été fixé dans le CVS v1.0, et qui nescessite d'être traité differement quand les canaux Local/ sont manipulés. Aussi, la version courante CVS_HEAD et l'arbre 1.2 utilisent des managers et des commandes différentes, qui doivent donc être traités différemment.|
Max VICIDIAL Trunks -<\/B> This field will determine the maximum number of lines that the VICIDIAL auto-dialer will attempt to call on this server. If you want to dedicate two full PRI T1s to VICIDIALing on a server then you would set this to 46. Default is 96|Nombre maximum de trunks VICIDIAL -</B> Ce champ détermine le nombre maximum de lignes que l'appel automatique de VICIDIAL essayera d'appeler sur ce serveur. Si vous voulez consacrer pleinement deux PRI T1s à VICIDIAL sur un serveur vous devriez mettre ce champ à 46. La valeur par defaut est 96|
Telnet Host -<\/B> This is the address or name of the Asterisk server and is how the manager applications connect to it from where they are running. If they are running on the Asterisk server, then the default of 'localhost' is fine|Hôte telnet -</B> C'est l'adresse ou le nom du serveur Asterisk et c'est comme cela que les applications managers se connectent au sevreur quand elle sont lancées. Si les applications managers sont lancées sur le serveur Asterisk, alors la valeur par defaut 'localhost' fonctionne bien |
Telnet Port -<\/B> This is the port of the Asterisk server Manager connection and is how the manager applications connect to it from where they are running. The default of '5038' is fine for a standard install|Port telnet -</B> C'est le port de connection au manager du serveur Asterisk c'est par ceului-ci que les applications managers se connectent. La valeur par defaut '5038' fonctionne bien avec une installation standard|
Manager User -<\/B> The username or login used to connect genericly to the Asterisk server manager. Default is 'cron'|Utilisateur du manager -</B> C'est l'utilisateur utilisé pour la connection au manager Asterisk. La valeur par défaut est 'cron'|
Manager Secret -<\/B> The secret or password used to connect genericly to the Asterisk server manager. Default is '1234'|Mot de passe du manager -</B> Le secret ou mot de passe utilisé pour ce connecter au manager Asterisk. La valeur par defaut est '1234'|
Manager Update User -<\/B> The username or login used to connect to the Asterisk server manager optimized for the Update scripts. Default is 'updatecron' and assumes the same secret as the generic user|Utilisateur du manager pour les mises à jour -</B> Le nom d'utilisateur ou le login utilisé pour se connecter au manager d'Asterisk, optimisé pour les scripts de mise à jour. La valeur par defaut est 'updatecron' et a le même secret que l'utilisateur générique|
Manager Listen User -<\/B> The username or login used to connect to the Asterisk server manager optimized for scripts that only listen for output. Default is 'listencron' and assumes the same secret as the generic user|Utilisateur du manager pour l'écoute -</B> Le nom d'utilisateur ou le login utilisé pour se connecter au manager d'Asterisk,  optimisé pour les scripts qui écoutent la sortie seulement. La valeur par défaut est 'listencron' et a le même secret que l'utilisateur générique|
Manager Send User -<\/B> The username or login used to connect to the Asterisk server manager optimized for scripts that only send Actions to the manager. Default is 'sendcron' and assumes the same secret as the generic user|Utilisateur du manager pour l'envoi -</B> Le nom d'utilisateur ou le login utilisé pour se connecter au manager d'Asterisk, optimisé pour les scripts qui envoient des actions au manager.  La valeur par défaut est 'sendcron' et a le même secret que l'utilisateur générique|
Server GMT offset -<\/B> The difference in hours from GMT time not adjusted for Daylight-Savings-Time of the server. Default is '-5'|Décalage GMT du serveur -</B>La difference en heure par rapport à l'heure GMT non ajustée pour Les Daylight-Savings-Time du serveur. Par defaut '-5'|
VMail Dump Exten -<\/B> The extension prefix used on this server to send calls directly through agc to a specific voicemail box. Default is '85026666666666'|Exten VMail Dump -</B> Le prefix de l'extention utilisé sur ce serveur pour lancer des appels directement depuis agc vers une boite vocale spécifique. La valeur par defaut est '85026666666666'|
